,data_indexes,lables,Latitude,Longitude,Parent Incident Type
1742,1860,1,42.932,-78.892,Theft
1744,1862,1,42.933,-78.901,Theft of Vehicle
1747,1865,1,42.945,-78.867,Breaking & Entering
1757,1875,1,42.954,-78.879,Theft
1758,1876,1,42.928,-78.877,Theft
1768,1888,1,42.952,-78.907,Theft
1770,1890,1,42.961,-78.901,Assault
1771,1891,1,42.965,-78.901,Theft
1776,1896,1,42.924,-78.881,Theft
1784,1905,1,42.941,-78.889,Assault
1787,1908,1,42.921,-78.887,Breaking & Entering
1789,1910,1,42.922,-78.89,Breaking & Entering
1792,1913,1,42.954,-78.879,Theft
1801,1922,1,42.959,-78.895,Theft
1809,1930,1,42.95,-78.888,Theft of Vehicle
1815,1936,1,42.954,-78.878,Theft
1817,1938,1,42.95,-78.907,Theft of Vehicle
1821,1942,1,42.924,-78.887,Breaking & Entering
1829,1950,1,42.955,-78.878,Theft
1830,1951,1,42.936,-78.899,Robbery
1831,1952,1,42.939,-78.892,Theft
1838,1960,1,42.927,-78.868,Theft
1845,1967,1,42.928,-78.891,Breaking & Entering
1851,1973,1,42.949,-78.897,Assault
1857,1979,1,42.932,-78.877,Theft
1870,1993,1,42.952,-78.877,Theft
1874,1997,1,42.954,-78.889,Homicide
1880,2004,1,42.945,-78.865,Theft
1888,2012,1,42.949,-78.868,Theft
1895,2019,1,42.924,-78.878,Theft
1898,2022,1,42.957,-78.859,Theft
1902,2026,1,42.94,-78.894,Theft
1904,2028,1,42.947,-78.867,Breaking & Entering
1910,2035,1,42.947,-78.864,Theft
1921,2046,1,42.918,-78.897,Breaking & Entering
1925,2050,1,42.953,-78.907,Theft
1928,2054,1,42.922,-78.887,Theft
1936,2064,1,42.925,-78.888,Theft
1944,2072,1,42.955,-78.878,Theft
1959,2088,1,42.95,-78.908,Theft of Vehicle
1964,2093,1,42.963,-78.9,Theft of Vehicle
1968,2097,1,42.955,-78.896,Theft
1976,2105,1,42.948,-78.889,Assault
1977,2106,1,42.943,-78.901,Theft
1979,2108,1,42.958,-78.901,Assault
1982,2111,1,42.95,-78.859,Theft of Vehicle
1990,2120,1,42.961,-78.906,Breaking & Entering
1997,2127,1,42.94,-78.876,Theft
1999,2129,1,42.958,-78.881,Theft
2012,2142,1,42.953,-78.899,Assault
2014,2144,1,42.939,-78.89,Breaking & Entering
2015,2145,1,42.919,-78.897,Assault
2025,2156,1,42.961,-78.901,Assault
2029,2161,1,42.945,-78.858,Breaking & Entering
2030,2162,1,42.948,-78.884,Assault
2036,2170,1,42.958,-78.907,Assault
2037,2171,1,42.948,-78.878,Breaking & Entering
2043,2177,1,42.918,-78.892,Assault
